NUM_CLIENTS,NUM_ROUNDS,BATCH_SIZE,NOISE_MULTIPLIER,EVAL_RATIO,EXECUTION_TIME
2,1,32,0.1,0.1,54.65057730674744
2,1,32,0.1,0.3,53.03806495666504
2,1,32,0.1,0.75,51.63234043121338
2,1,32,0.1,0.9,51.56432819366455
2,1,32,0.1,1,51.27578830718994
2,1,32,0.4,0.1,50.14554977416992
2,1,32,0.4,0.3,53.259262561798096
2,1,32,0.4,0.75,50.15369987487793
2,1,32,0.4,0.9,51.79027986526489
2,1,32,0.4,1,51.300307512283325
2,1,32,1.1,0.1,51.58349084854126
2,1,32,1.1,0.3,51.048678159713745
2,1,32,1.1,0.75,56.10116243362427
2,1,32,1.1,0.9,63.132946252822876
2,1,32,1.1,1,53.5841121673584
2,1,32,1.5,0.1,54.24575614929199
2,1,32,1.5,0.3,53.08874154090881
2,1,32,1.5,0.75,51.709801197052
2,1,32,1.5,0.9,53.005253076553345
2,1,32,1.5,1,52.72540068626404
2,1,32,2.5,0.1,51.2796745300293
2,1,32,2.5,0.3,51.03377342224121
2,1,32,2.5,0.75,51.814138412475586
2,1,32,2.5,0.9,50.55359387397766
2,1,32,2.5,1,54.647056579589844
2,1,32,4,0.1,50.527682304382324
2,1,32,4,0.3,55.76097798347473
2,1,32,4,0.75,53.07707500457764
2,1,32,4,0.9,51.14100909233093
2,1,32,4,1,52.124982833862305
2,1,64,0.1,0.1,50.42811441421509
2,1,64,0.1,0.3,54.74515128135681
2,1,64,0.1,0.75,50.7479202747345
2,1,64,0.1,0.9,50.06605887413025
2,1,64,0.1,1,49.98373866081238
2,1,64,0.4,0.1,55.32114100456238
2,1,64,0.4,0.3,49.91758871078491
2,1,64,0.4,0.75,49.34708833694458
2,1,64,0.4,0.9,49.752594232559204
2,1,64,0.4,1,52.14179968833923
2,1,64,1.1,0.1,51.19023823738098
2,1,64,1.1,0.3,53.439290046691895
2,1,64,1.1,0.75,50.1352276802063
2,1,64,1.1,0.9,50.98626446723938
2,1,64,1.1,1,54.164955377578735
2,1,64,1.5,0.1,50.37464690208435
2,1,64,1.5,0.3,51.34381675720215
2,1,64,1.5,0.75,50.334959745407104
2,1,64,1.5,0.9,50.922829389572144
2,1,64,1.5,1,50.717188358306885
2,1,64,2.5,0.1,51.48512125015259
2,1,64,2.5,0.3,51.24467635154724
2,1,64,2.5,0.75,50.37176704406738
2,1,64,2.5,0.9,51.54802227020264
2,1,64,2.5,1,50.96499705314636
2,1,64,4,0.1,51.670687198638916
2,1,64,4,0.3,50.358530044555664
2,1,64,4,0.75,48.31409406661987
2,1,64,4,0.9,50.033780097961426
2,1,64,4,1,52.40429639816284
2,1,128,0.1,0.1,51.84507966041565
2,1,128,0.1,0.3,52.31587886810303
2,1,128,0.1,0.75,50.961018562316895
2,1,128,0.1,0.9,48.8170599937439
2,1,128,0.1,1,51.033846616744995
2,1,128,0.4,0.1,51.08999538421631
2,1,128,0.4,0.3,50.33871841430664
2,1,128,0.4,0.75,50.83614706993103
2,1,128,0.4,0.9,51.705962896347046
2,1,128,0.4,1,53.10638904571533
2,1,128,1.1,0.1,51.06377100944519
2,1,128,1.1,0.3,50.04569411277771
2,1,128,1.1,0.75,53.93133473396301
2,1,128,1.1,0.9,48.473886489868164
2,1,128,1.1,1,53.43698287010193
2,1,128,1.5,0.1,51.68212175369263
2,1,128,1.5,0.3,49.374396562576294
2,1,128,1.5,0.75,51.958303928375244
2,1,128,1.5,0.9,56.41604137420654
2,1,128,1.5,1,52.75179147720337
2,1,128,2.5,0.1,50.05392408370972
2,1,128,2.5,0.3,52.948803424835205
2,1,128,2.5,0.75,50.071650981903076
2,1,128,2.5,0.9,52.86740040779114
2,1,128,2.5,1,47.86081051826477
2,1,128,4,0.1,47.69733023643494
2,1,128,4,0.3,48.65928316116333
2,1,128,4,0.75,53.83069133758545
2,1,128,4,0.9,49.25423765182495
2,1,128,4,1,50.93444871902466
2,1,256,0.1,0.1,49.41717886924744
2,1,256,0.1,0.3,48.64033484458923
2,1,256,0.1,0.75,49.52741312980652
2,1,256,0.1,0.9,48.130743980407715
2,1,256,0.1,1,51.37382483482361
2,1,256,0.4,0.1,52.006829500198364
2,1,256,0.4,0.3,53.78382635116577
2,1,256,0.4,0.75,50.58297657966614
2,1,256,0.4,0.9,57.94796872138977
2,1,256,0.4,1,51.296934843063354
2,1,256,1.1,0.1,55.68758511543274
2,1,256,1.1,0.3,53.95297455787659
2,1,256,1.1,0.75,56.35395097732544
2,1,256,1.1,0.9,50.957953691482544
2,1,256,1.1,1,56.670135736465454
2,1,256,1.5,0.1,50.31796216964722
2,1,256,1.5,0.3,50.60089349746704
2,1,256,1.5,0.75,48.33532738685608
2,1,256,1.5,0.9,50.23744988441467
2,1,256,1.5,1,50.451483726501465
2,1,256,2.5,0.1,48.90394711494446
2,1,256,2.5,0.3,50.060961961746216
2,1,256,2.5,0.75,48.36951494216919
2,1,256,2.5,0.9,49.25370764732361
2,1,256,2.5,1,51.05657649040222
2,1,256,4,0.1,52.91775345802307
2,1,256,4,0.3,49.3218674659729
2,1,256,4,0.75,48.69659352302551
2,1,256,4,0.9,48.21743965148926
2,1,256,4,1,48.79510807991028
2,5,32,0.1,0.1,138.915997505188
2,5,32,0.1,0.3,141.15467023849487
2,5,32,0.1,0.75,146.0514578819275
2,5,32,0.1,0.9,140.01865816116333
2,5,32,0.1,1,147.08421802520752
2,5,32,0.4,0.1,147.57914280891418
2,5,32,0.4,0.3,155.55407977104187
2,5,32,0.4,0.75,148.82345867156982
2,5,32,0.4,0.9,146.30261063575745
2,5,32,0.4,1,142.9581322669983
2,5,32,1.1,0.1,140.3853030204773
2,5,32,1.1,0.3,139.17428588867188
2,5,32,1.1,0.75,141.1397740840912
2,5,32,1.1,0.9,142.01104187965393
2,5,32,1.1,1,143.66372990608215
2,5,32,1.5,0.1,141.80890011787415
2,5,32,1.5,0.3,145.9404137134552
2,5,32,1.5,0.75,143.35762286186218
2,5,32,1.5,0.9,141.08273363113403
2,5,32,1.5,1,143.23224520683289
2,5,32,2.5,0.1,141.02859568595886
2,5,32,2.5,0.3,139.54942965507507
2,5,32,2.5,0.75,140.1704180240631
2,5,32,2.5,0.9,145.81625747680664
2,5,32,2.5,1,145.58637523651123
2,5,32,4,0.1,141.49862909317017
2,5,32,4,0.3,141.23224782943726
2,5,32,4,0.75,140.2149703502655
2,5,32,4,0.9,140.6803216934204
2,5,32,4,1,141.55106258392334
2,5,64,0.1,0.1,141.4170217514038
2,5,64,0.1,0.3,136.80832815170288
2,5,64,0.1,0.75,140.9120578765869
2,5,64,0.1,0.9,137.80885887145996
2,5,64,0.1,1,140.76220798492432
2,5,64,0.4,0.1,136.7765510082245
2,5,64,0.4,0.3,135.9253807067871
2,5,64,0.4,0.75,138.42185044288635
2,5,64,0.4,0.9,137.98380637168884
2,5,64,0.4,1,138.3988676071167
2,5,64,1.1,0.1,136.27253675460815
2,5,64,1.1,0.3,135.68804454803467
2,5,64,1.1,0.75,137.7960877418518
2,5,64,1.1,0.9,135.7843050956726
2,5,64,1.1,1,136.87614750862122
2,5,64,1.5,0.1,139.36510634422302
2,5,64,1.5,0.3,134.76458764076233
2,5,64,1.5,0.75,137.34283423423767
2,5,64,1.5,0.9,135.40029501914978
2,5,64,1.5,1,136.86638617515564
2,5,64,2.5,0.1,136.25538897514343
2,5,64,2.5,0.3,136.35327434539795
2,5,64,2.5,0.75,134.3362421989441
2,5,64,2.5,0.9,145.0667462348938
2,5,64,2.5,1,136.3431875705719
2,5,64,4,0.1,135.63103342056274
2,5,64,4,0.3,137.04120659828186
2,5,64,4,0.75,137.31459403038025
2,5,64,4,0.9,137.3534586429596
2,5,64,4,1,134.44588613510132
2,5,128,0.1,0.1,159.38612031936646
2,5,128,0.1,0.3,150.11886429786682
2,5,128,0.1,0.75,155.2278347015381
2,5,128,0.1,0.9,152.64364528656006
2,5,128,0.1,1,135.09021401405334
2,5,128,0.4,0.1,162.1229636669159
2,5,128,0.4,0.3,158.43188285827637
2,5,128,0.4,0.75,148.9349913597107
2,5,128,0.4,0.9,145.23110437393188
2,5,128,0.4,1,176.6900565624237
2,5,128,1.1,0.1,182.71352434158325
2,5,128,1.1,0.3,147.60251760482788
2,5,128,1.1,0.75,151.07027220726013
2,5,128,1.1,0.9,156.27257299423218
2,5,128,1.1,1,141.93080687522888
2,5,128,1.5,0.1,143.39497876167297
2,5,128,1.5,0.3,142.56300377845764
2,5,128,1.5,0.75,138.2297866344452
2,5,128,1.5,0.9,139.17038559913635
2,5,128,1.5,1,135.73308420181274
2,5,128,2.5,0.1,138.4356279373169
2,5,128,2.5,0.3,137.636634349823
2,5,128,2.5,0.75,144.55227303504944
2,5,128,2.5,0.9,135.7819561958313
2,5,128,2.5,1,147.0675868988037
2,5,128,4,0.1,138.1278202533722
2,5,128,4,0.3,151.14598512649536
