NUM_CLIENTS,NUM_ROUNDS,BATCH_SIZE,NOISE_MULTIPLIER,EVAL_RATIO,ACCURACY
2,1,32,0.1,0.1,0.093
2,1,32,0.1,0.3,0.0956
2,1,32,0.1,0.75,0.1058
2,1,32,0.1,0.9,0.1102
2,1,32,0.1,1,0.1022
2,1,32,0.4,0.1,0.1016
2,1,32,0.4,0.3,0.1016
2,1,32,0.4,0.75,0.10240000000000002
2,1,32,0.4,0.9,0.092
2,1,32,0.4,1,0.0952
2,1,32,1.1,0.1,0.0558
2,1,32,1.1,0.3,0.1006
2,1,32,1.1,0.75,0.0872
2,1,32,1.1,0.9,0.0986
2,1,32,1.1,1,0.08940000000000001
2,1,32,1.5,0.1,0.1008
2,1,32,1.5,0.3,0.0906
2,1,32,1.5,0.75,0.0964
2,1,32,1.5,0.9,0.0812
2,1,32,1.5,1,0.0998
2,1,32,2.5,0.1,0.097
2,1,32,2.5,0.3,0.106
2,1,32,2.5,0.75,0.1046
2,1,32,2.5,0.9,0.089
2,1,32,2.5,1,0.1083
2,1,32,4,0.1,0.093
2,1,32,4,0.3,0.0948
2,1,32,4,0.75,0.0944
2,1,32,4,0.9,0.1036
2,1,32,4,1,0.0939
2,1,64,0.1,0.1,0.115
2,1,64,0.1,0.3,0.0976
2,1,64,0.1,0.75,0.0984
2,1,64,0.1,0.9,0.1022
2,1,64,0.1,1,0.1021
2,1,64,0.4,0.1,0.1004
2,1,64,0.4,0.3,0.087
2,1,64,0.4,0.75,0.0956
2,1,64,0.4,0.9,0.10460000000000001
2,1,64,0.4,1,0.0996
2,1,64,1.1,0.1,0.0984
2,1,64,1.1,0.3,0.108
2,1,64,1.1,0.75,0.0858
2,1,64,1.1,0.9,0.1024
2,1,64,1.1,1,0.10269999999999999
2,1,64,1.5,0.1,0.1008
2,1,64,1.5,0.3,0.1028
2,1,64,1.5,0.75,0.11040000000000001
2,1,64,1.5,0.9,0.10620000000000002
2,1,64,1.5,1,0.0987
2,1,64,2.5,0.1,0.11060000000000002
2,1,64,2.5,0.3,0.0896
2,1,64,2.5,0.75,0.099
2,1,64,2.5,0.9,0.1154
2,1,64,2.5,1,0.0937
2,1,64,4,0.1,0.1042
2,1,64,4,0.3,0.1036
2,1,64,4,0.75,0.0674
2,1,64,4,0.9,0.1068
2,1,64,4,1,0.11309999999999999
2,1,128,0.1,0.1,0.1246
2,1,128,0.1,0.3,0.10900000000000001
2,1,128,0.1,0.75,0.10900000000000001
2,1,128,0.1,0.9,0.0928
2,1,128,0.1,1,0.0986
2,1,128,0.4,0.1,0.092
2,1,128,0.4,0.3,0.10600000000000001
2,1,128,0.4,0.75,0.1162
2,1,128,0.4,0.9,0.1152
2,1,128,0.4,1,0.10200000000000001
2,1,128,1.1,0.1,0.1014
2,1,128,1.1,0.3,0.0994
2,1,128,1.1,0.75,0.096
2,1,128,1.1,0.9,0.0904
2,1,128,1.1,1,0.08759999999999998
2,1,128,1.5,0.1,0.11739999999999999
2,1,128,1.5,0.3,0.10640000000000001
2,1,128,1.5,0.75,0.1044
2,1,128,1.5,0.9,0.1044
2,1,128,1.5,1,0.1036
2,1,128,2.5,0.1,0.10939999999999998
2,1,128,2.5,0.3,0.1026
2,1,128,2.5,0.75,0.11079999999999998
2,1,128,2.5,0.9,0.0984
2,1,128,2.5,1,0.10729999999999999
2,1,128,4,0.1,0.1316
2,1,128,4,0.3,0.099
2,1,128,4,0.75,0.10600000000000001
2,1,128,4,0.9,0.0956
2,1,128,4,1,0.08360000000000001
2,1,256,0.1,0.1,0.1016
2,1,256,0.1,0.3,0.1016
2,1,256,0.1,0.75,0.1238
2,1,256,0.1,0.9,0.0998
2,1,256,0.1,1,0.0955
2,1,256,0.4,0.1,0.095
2,1,256,0.4,0.3,0.1058
2,1,256,0.4,0.75,0.0984
2,1,256,0.4,0.9,0.1162
2,1,256,0.4,1,0.1016
2,1,256,1.1,0.1,0.0986
2,1,256,1.1,0.3,0.0996
2,1,256,1.1,0.75,0.0798
2,1,256,1.1,0.9,0.1052
2,1,256,1.1,1,0.10310000000000001
2,1,256,1.5,0.1,0.0658
2,1,256,1.5,0.3,0.11079999999999998
2,1,256,1.5,0.75,0.1086
2,1,256,1.5,0.9,0.0864
2,1,256,1.5,1,0.10429999999999999
2,1,256,2.5,0.1,0.1344
2,1,256,2.5,0.3,0.101
2,1,256,2.5,0.75,0.1092
2,1,256,2.5,0.9,0.0978
2,1,256,2.5,1,0.10369999999999999
2,1,256,4,0.1,0.0938
2,1,256,4,0.3,0.0864
2,1,256,4,0.75,0.0992
2,1,256,4,0.9,0.089
2,1,256,4,1,0.1026
2,5,32,0.1,0.1,0.097
2,5,32,0.1,0.1,0.094
2,5,32,0.1,0.1,0.097
2,5,32,0.1,0.1,0.094
2,5,32,0.1,0.1,0.097
2,5,32,0.1,0.3,0.0996
2,5,32,0.1,0.3,0.109
2,5,32,0.1,0.3,0.1088
2,5,32,0.1,0.3,0.1306
2,5,32,0.1,0.3,0.1472
2,5,32,0.1,0.75,0.11739999999999999
2,5,32,0.1,0.75,0.122
2,5,32,0.1,0.75,0.11179999999999998
2,5,32,0.1,0.75,0.11
2,5,32,0.1,0.75,0.1432
2,5,32,0.1,0.9,0.11520000000000001
2,5,32,0.1,0.9,0.11379999999999998
2,5,32,0.1,0.9,0.11880000000000002
2,5,32,0.1,0.9,0.1204
2,5,32,0.1,0.9,0.11560000000000001
2,5,32,0.1,1,0.09799999999999999
2,5,32,0.1,1,0.09799999999999999
2,5,32,0.1,1,0.09799999999999999
2,5,32,0.1,1,0.09799999999999999
2,5,32,0.1,1,0.09799999999999999
2,5,32,0.4,0.1,0.0996
2,5,32,0.4,0.1,0.137
